,,,,DISTRICTWISE DATA,,,,,
,,,,,,,,,
ODISHA,CONFIRMED,RECOVERED,DECEASED,,,BIHAR,CONFIRMED,RECOVERED,DECEASED
,,,,,,,,,
Angul,11614,11501,37,,,Araria,7373,7265,22
Balangir,8979,8855,42,,,Arwal,2444,2425,12
Balasore,12566,12407,101,,,Aurangabad,5613,5573,16
Bargarh,10914,10701,42,,,Banka,3639,3597,20
Bhadrak,7552,7489,29,,,Begusarai,8256,8178,37
Boudh,2826,2811,11,,,Bhagalpur,9791,9597,83
Cuttack,29554,29227,146,,,Bhojpur,5179,5106,48
Deogarh,1404,1397,5,,,Buxar,4055,4017,20
Dhenkanal,5744,5693,29,,,Darbhanga,4326,4276,39
Gajapati,4088,4054,33,,,East Champaran,8509,8438,54
Ganjam,21974,21696,256,,,Gaya,8243,8108,61
Jagatsinghpur,9200,9146,38,,,Gopalganj,5861,5823,15
Jajpur,12451,12379,26,,,Jamui,3184,3169,10
Jharsuguda,8013,7939,26,,,Jehanabad,4709,4589,27
Kalahandi,6603,6384,33,,,Kaimur,2283,2266,10
Kandhamal,5956,5921,33,,,Katihar,7283,7244,13
Kendrapara,9179,9135,29,,,Khagaria,3162,3137,14
Kendujhar,8070,8012,38,,,Kishanganj,4358,4327,13
Khordha,53812,53112,350,,,Lakhisarai,3875,3859,9
Koraput,7927,7898,16,,,Madhepura,4914,4889,17
Malkangiri,5246,5218,28,,,Madhubani,7838,7768,36
Mayurbhanj,14444,14279,93,,,Munger,4355,4251,57
Nabarangapur,5869,5839,16,,,Muzaffarpur,12055,11959,52
Nayagarh,6501,6445,47,,,Nalanda,8431,8337,60
Nuapada,7937,7687,27,,,Nawada,4369,4325,26
Puri,14576,14397,121,,,Patna,54125,52911,464
Rayagada,8505,8440,45,,,Purnia,9469,9432,25
Sambalpur,10283,10119,78,,,Rohtas,6942,6854,46
Subarnapur,4803,4770,21,,,Saharsa,6896,6871,12
Sundargarh,16173,15803,178,,,Samastipur,5459,5345,35
Total,332763,328754,1974,,,Saran,7508,7404,65
,,,,,,Sheikhpura,3006,2988,13
,,,,,,Sheohar,1559,1555,1
,,,,,,Sitamarhi,4501,4470,18
,,,,,,Siwan,4899,4820,36
,,,,,,Supaul,5669,5634,19
,,,,,,Vaishali,5720,5644,50
,,,,,,West Champaran,6157,6078,23
,,,,,,Total,266015,262529,1578
